,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,curtailment,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,prices,lcoe,lcoe,lcoe,lcoe,lcoe,market_value,market_value,market_value,market_value,market_value,market_value,io,io,io,io,io,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,capacity,storage,storage,storage,storage,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used,potential_used
FR0 4,,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,,,,116.85,87.01,93.81,84.74,,,,,48.77,47.91,87.29,,,,,81.86,,,,65.49,58.83,63.95,,,65.49,58.83,,2.3,12.38,21.88,2.34,38.91,10.19,0.0,0.0,0.11,14.15,10.19,0.48,0.0,4.17,0.21,2.25,0.0,0.0,0.0,0.02,0.88,1.32,5.82,2.12,0.0,0.0,23.16,0.0,1.4,,,,,0.06,0.0,0.0,,0.0,0.0,10.2,98.61,0.0
FR0 5,,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,,,115.71,85.87,83.97,78.25,,,,,45.08,44.14,80.67,,,,,75.24,,,,,53.11,64.69,,,59.8,53.11,69.94,3.28,1.13,-4.04,-0.17,0.19,3.51,0.0,0.0,0.04,2.55,3.51,0.01,0.0,2.03,0.28,0.35,1.68,0.0,0.0,0.0,0.04,0.7,8.59,0.33,0.0,0.0,7.97,0.0,0.11,,,,,0.0,0.0,0.0,0.0,0.0,0.0,16.21,44.13,0.0
FR0 6,,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,,,114.85,85.02,78.22,73.55,,,,,41.64,40.82,75.63,,,,,70.2,,,,53.36,,64.44,,,58.31,48.18,65.11,-1.72,10.02,22.16,0.4,30.85,10.07,0.0,0.0,0.11,4.55,10.07,0.58,0.0,4.53,0.25,2.19,0.61,0.0,0.0,0.0,0.89,2.53,0.22,2.13,0.0,0.0,22.88,0.0,2.66,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.27,100.0,0.0
FR0 7,,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.0,,,,115.46,85.63,83.46,76.2,,,,,43.15,42.23,78.76,,,,,73.32,,,,60.21,53.62,56.74,,,61.21,53.62,,-1.54,9.73,18.86,-3.5,23.56,10.44,0.0,0.0,0.11,7.2,10.44,0.66,0.0,4.3,0.24,2.44,0.0,0.0,0.0,0.0,0.84,2.03,6.68,2.2,0.0,0.0,23.72,0.0,2.76,,,,,0.0,0.0,0.0,,0.0,0.0,6.47,100.0,0.0
FR0 8,,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,116.25,86.42,88.56,79.52,,,,,46.06,45.14,82.1,,,,,76.67,46.14,,,,,49.5,,,66.4,59.37,,-2.17,12.46,-6.49,2.99,6.8,12.02,0.32,0.0,0.13,8.87,12.02,0.88,0.0,4.12,0.07,3.04,0.0,0.0,0.0,13.66,1.17,2.09,0.02,0.0,0.0,0.0,27.31,0.0,3.93,,,,,100.0,0.0,0.0,,0.0,0.0,0.04,0.12,0.0
FR0 9,0.0,2.61,0.0,0.0,0.0,0.0,0.05,0.0,0.0,,0.0,,114.91,85.08,80.54,73.79,,,,,41.37,40.53,76.32,,,,,70.91,45.21,,,57.1,50.52,50.44,59.83,61.8,59.31,50.52,,-6.32,-41.88,-43.6,0.76,-91.04,12.62,24.26,0.0,0.14,0.89,12.62,1.04,0.0,4.54,0.08,3.1,0.0,0.0,0.0,35.28,1.19,2.47,65.94,2.66,0.0,0.0,28.68,0.0,3.74,,0.0,0.01,,100.0,0.0,0.0,,0.0,0.0,75.83,100.0,0.0
GB4 0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,113.52,83.69,67.72,59.7,,,,,37.67,37.22,62.35,,,,,56.92,31.5,,,,,42.21,51.48,53.14,63.07,59.4,,0.69,-9.33,-44.88,-18.38,-71.9,7.34,25.56,0.0,0.11,0.01,7.34,0.21,0.0,2.43,0.29,0.94,0.0,10.22,0.0,31.62,0.65,1.6,0.0,0.0,0.0,12200.82,16.68,0.0,1.1,,0.0,0.01,,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
GB5 0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.45,,113.87,84.04,68.57,60.91,,,,,39.44,38.81,63.55,,,,,58.12,36.7,,47.91,,,45.18,53.42,50.84,64.98,61.17,60.45,19.83,-59.42,-49.95,-7.16,-96.69,2.68,31.39,0.0,0.04,0.0,2.68,0.01,0.0,1.21,0.17,0.32,1.81,6.62,4.96,45.06,0.05,0.49,0.0,0.0,0.0,0.0,6.09,0.0,0.09,,0.0,100.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
GB5 1,,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,114.82,84.99,80.75,72.36,,,,,43.07,42.2,75.04,,,,,69.61,39.16,,,,,45.56,,,66.13,62.27,,-20.75,16.18,20.68,2.56,18.67,27.25,11.43,0.0,0.42,10.02,27.25,2.05,0.0,8.71,0.16,6.54,0.0,0.0,0.0,25.21,4.06,4.84,0.0,0.0,0.0,0.0,61.94,0.0,11.35,,,,,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
GB5 10,0.0,3.02,0.0,0.0,0.0,0.0,0.03,0.0,0.0,,0.29,,115.25,85.42,82.19,73.56,,,,,43.23,42.35,76.23,,,,,70.8,37.02,,53.43,,59.92,48.07,57.6,54.64,65.95,59.92,,-2.47,-1.98,-0.28,0.81,-3.91,21.46,11.99,0.0,0.33,7.74,21.46,1.65,0.0,7.06,0.2,5.17,0.0,0.0,1.98,25.98,2.46,3.7,2.21,0.0,0.0,4347.55,48.78,0.0,7.57,,0.01,100.0,,100.0,0.0,0.0,,0.0,0.0,3.38,0.01,0.0
GB5 11,,2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,114.74,84.91,81.73,73.22,,,,,43.17,42.29,75.91,,,,,70.48,35.1,,,,,46.46,,,66.21,62.24,,-11.51,1.54,21.89,0.55,12.47,14.85,11.7,0.0,0.23,7.34,14.85,1.12,0.0,5.29,0.08,3.59,0.0,0.0,0.0,14.95,2.31,2.99,0.0,0.0,0.0,2716.68,33.74,0.0,5.19,,,,,100.0,0.0,0.0,,0.0,0.0,0.0,0.01,0.0
GB5 12,0.0,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.74,,114.06,84.23,72.85,65.17,,,,,28.76,28.76,67.85,,,,,62.42,38.49,,49.67,,,43.6,51.49,49.67,66.9,62.9,,6.19,-19.48,-24.13,-5.64,-43.06,1.47,13.48,0.0,0.02,0.9,1.47,0.0,0.0,0.57,0.11,0.18,2.09,3.54,6.7,13.48,0.01,0.32,0.0,0.0,0.0,0.0,3.35,0.0,0.01,,0.0,65.9,,100.0,0.0,0.0,,0.0,0.0,0.0,0.02,0.0
GB5 13,0.81,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.26,,115.37,85.54,84.53,75.52,,,,,43.92,43.23,78.2,,,,,72.77,35.78,56.19,51.95,,,47.74,58.87,56.16,65.74,61.6,,-43.44,80.53,71.05,8.28,116.42,58.79,0.01,0.0,0.91,20.37,58.79,5.1,0.0,20.82,0.04,16.17,0.0,0.0,4.47,13.61,7.43,9.69,0.0,0.0,0.0,0.0,133.62,0.0,25.94,,100.0,100.0,,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
GB5 14,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,114.78,84.95,80.17,71.99,,,,,42.18,41.17,74.67,,,,,69.24,31.01,,,,,49.45,56.7,,67.09,62.21,,9.18,-9.23,-32.35,-0.95,-33.35,3.77,7.97,0.0,0.06,1.54,3.77,0.13,0.0,1.49,0.18,0.69,0.0,0.0,0.0,17.22,0.26,0.77,0.0,0.0,0.0,0.0,8.58,0.0,0.57,,0.0,,,100.0,0.0,0.0,,0.0,0.0,0.01,0.02,0.0
GB5 15,,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,114.57,84.74,81.95,73.39,,,,,43.85,42.94,76.11,,,,,70.68,35.8,,,,,46.99,,,67.73,63.75,,-34.9,73.7,23.05,4.83,66.68,32.27,0.52,0.0,0.5,32.82,32.27,2.11,0.0,10.46,0.06,7.88,0.0,0.01,0.0,14.52,7.96,5.45,0.0,0.0,0.0,3522.41,73.34,0.0,11.83,,,,,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
GB5 16,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.85,,113.86,84.02,69.85,61.76,,,,,39.54,39.05,64.4,,,,,58.97,33.22,,52.34,,,40.68,50.74,52.78,64.67,61.4,65.0,-9.21,-72.11,3.24,-1.93,-80.01,16.03,37.18,0.0,0.25,9.09,16.03,0.68,0.0,5.85,0.36,2.48,0.02,0.73,1.96,51.85,2.71,3.28,0.0,0.0,0.0,0.0,36.44,0.0,3.39,,0.0,100.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GB5 17,0.0,1.66,0.0,0.0,0.0,0.0,0.03,0.0,0.0,,0.0,,115.43,85.6,82.65,74.03,,,,,43.72,42.84,76.7,,,,,71.26,31.87,,,,58.69,48.02,55.66,57.41,65.36,58.68,,12.94,-27.06,6.79,-1.67,-8.99,5.94,10.4,0.0,0.09,24.63,5.94,0.3,0.0,1.81,0.2,1.2,0.0,0.0,0.0,14.39,0.47,1.24,3.08,0.0,0.0,0.0,13.5,0.0,1.23,,0.01,0.0,,100.0,0.0,0.0,,0.0,0.0,9.18,0.01,0.0
GB5 2,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,115.13,85.3,82.38,73.77,,,,,43.36,42.53,76.45,,,,,71.01,32.68,,,,,45.41,56.19,58.28,65.93,61.48,,3.99,-31.16,8.59,-0.75,-19.33,10.42,14.22,0.0,0.16,39.75,10.42,0.66,0.0,3.56,0.23,2.04,0.0,0.0,0.0,22.88,1.04,2.26,0.0,0.0,0.0,0.0,23.67,0.0,2.37,,0.01,0.03,,100.0,0.0,0.0,,0.0,0.0,0.01,0.01,0.0
GB5 3,0.0,4.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,,0.06,,114.42,84.59,79.38,71.58,,,,,40.95,40.06,74.2,,,,,68.77,30.22,,,,58.37,51.48,56.85,59.92,66.32,58.37,,30.84,-12.25,-39.14,0.0,-20.54,4.72,8.89,0.0,0.07,0.0,4.72,0.09,0.0,1.64,0.29,0.7,0.0,0.0,0.12,18.38,0.19,1.12,4.39,0.0,0.0,0.0,10.72,0.0,0.87,,0.0,100.0,,100.0,0.0,0.0,,0.0,0.0,12.18,0.02,0.0
GB5 4,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.34,,114.2,84.37,77.83,69.41,,,,,42.35,41.41,72.08,,,,,66.65,31.25,,51.67,,,42.91,52.31,51.82,65.01,61.94,,-12.09,-33.9,12.53,-0.56,-34.02,11.77,18.88,0.0,0.18,18.95,11.77,0.57,0.0,4.5,0.22,2.1,0.0,0.01,1.4,27.26,2.29,2.11,0.0,0.0,0.0,0.0,26.74,0.0,2.95,,0.0,99.99,,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
GB5 5,0.0,5.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,114.71,84.88,81.3,73.0,,,,,43.03,42.12,75.66,,,,,70.23,33.2,,,,,52.49,54.63,56.32,65.77,62.14,,0.94,-21.55,10.87,-0.31,-10.05,4.74,7.51,0.0,0.07,1.67,4.74,0.19,0.0,1.78,0.19,0.9,0.0,0.0,0.01,12.4,0.46,0.97,0.0,0.0,0.0,1404.85,10.78,0.0,0.97,,0.01,0.05,,100.0,0.0,0.0,,0.0,0.0,0.01,0.01,0.0
GB5 6,0.0,0.51,0.0,0.0,0.0,0.0,0.04,0.0,0.0,,0.0,,114.85,85.02,80.96,72.5,,,,,42.64,41.65,75.16,,,,,69.73,36.21,,,,59.14,45.41,56.35,58.71,66.46,59.14,,0.43,-43.65,19.01,-0.1,-24.3,13.05,27.66,0.0,0.2,1.78,13.05,0.7,0.0,4.9,0.36,2.27,0.0,0.0,0.0,26.39,1.35,2.38,24.9,0.0,0.0,7535.87,29.66,0.0,3.51,,0.0,0.09,,100.0,0.0,0.0,,0.0,0.0,43.71,0.01,0.0
GB5 7,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,114.37,84.53,73.85,65.62,,,,,40.97,40.24,68.32,,,,,62.88,36.24,,,,,40.82,51.95,54.52,65.66,62.07,,-10.72,-8.81,25.1,-1.98,3.6,14.85,12.48,0.0,0.23,16.3,14.85,0.92,0.0,5.93,0.18,2.67,0.0,0.2,0.0,19.98,2.24,2.81,0.0,0.0,0.0,4958.62,33.75,0.0,3.96,,0.0,0.14,,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
GB5 8,0.0,4.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,114.32,84.49,69.1,61.26,,,,,28.66,28.74,63.89,,,,,58.5,35.44,,,,,43.69,50.83,53.48,62.95,59.58,,7.93,-46.65,-2.04,-3.01,-43.77,3.7,16.55,0.0,0.06,15.0,3.7,0.0,0.0,1.32,0.26,0.19,0.06,0.01,0.0,25.87,0.03,0.79,0.0,0.0,0.0,0.0,8.4,0.0,0.01,,0.0,0.01,,100.0,0.0,0.0,,0.0,0.0,0.0,0.01,0.0
GB5 9,0.85,2.99,0.0,0.0,0.0,0.0,0.03,0.0,0.0,,1.09,,115.6,85.77,84.37,75.55,,,,,43.8,42.89,78.22,,,,,72.78,34.74,52.53,54.79,,58.15,54.66,53.75,56.7,65.47,58.15,,-7.03,-17.74,-12.05,0.91,-35.91,11.07,11.85,0.0,0.17,0.0,11.07,0.96,0.0,4.09,0.01,2.86,0.0,0.0,14.0,8.77,1.49,1.75,8.71,0.0,0.0,0.0,25.15,0.0,3.82,,100.0,100.0,,100.0,0.0,0.0,,0.0,0.0,34.21,0.01,0.0
GR0 0,0.0,1.67,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.0,0.96,,114.53,84.7,76.53,74.15,,,,,37.14,36.19,76.19,,,,,70.76,63.79,,64.8,42.94,37.98,63.79,69.86,69.04,49.36,39.92,95.2,8.61,-38.76,-81.82,2.25,-109.72,23.56,32.28,0.0,1.69,0.9,23.56,1.72,0.03,7.77,0.28,8.33,0.01,0.0,5.36,55.39,0.0,7.03,64.97,4.01,3.3,0.0,53.53,0.1,12.83,,0.0,100.0,,75.61,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
GR0 1,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.02,0.0,0.09,,115.33,85.5,82.89,79.96,,,,,41.94,40.88,81.73,,,,,76.3,,,78.76,45.56,40.34,86.98,91.92,79.37,52.73,40.34,103.86,1.48,-12.22,-22.08,5.56,-27.26,24.88,24.01,0.0,1.78,8.71,24.88,1.36,18.71,6.82,0.5,2.93,3.39,0.0,2.26,0.0,0.98,5.16,84.35,4.23,1.22,1055.24,56.55,71.68,3.71,,0.0,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,60.95,100.0,0.0
HR0 0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,,117.77,87.94,93.43,86.56,,,,,47.46,46.3,88.86,,,,,83.43,,,,55.28,49.24,95.73,102.11,99.05,56.89,49.24,97.3,2.12,5.23,1.2,2.61,11.17,14.19,0.0,0.0,0.06,0.14,14.19,0.64,0.0,4.48,0.7,6.96,2.12,0.0,0.0,0.0,0.0,2.45,14.98,3.86,0.0,0.0,32.26,0.0,3.86,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,18.5,100.0,0.0
HU0 0,,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,117.81,87.98,91.9,84.99,,,,,48.1,46.91,87.37,,,,,81.94,73.07,,,,,73.07,,,59.59,52.38,73.82,5.3,3.74,-31.58,-1.87,-24.42,17.18,0.0,0.0,0.0,2.59,17.18,1.41,0.0,7.31,0.95,17.46,0.0,0.0,0.0,46.55,0.0,4.75,0.0,0.0,0.0,0.0,39.04,0.0,8.18,,,,,68.23,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0
HU0 1,,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,,,117.49,87.66,92.0,85.78,,,,,48.1,47.02,88.14,,,,,82.7,,,,,49.86,85.2,,,56.24,49.86,73.56,5.4,2.88,10.95,-1.93,17.29,10.57,0.0,0.0,0.0,3.13,10.57,0.75,0.0,4.55,0.72,9.69,0.05,0.0,0.0,0.0,0.0,3.1,11.8,0.96,0.0,0.0,24.03,0.0,4.78,,,,,0.0,0.0,0.0,0.0,0.0,0.0,8.16,25.57,0.0
IE4 0,0.0,7.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.14,,113.26,83.43,67.89,59.76,,,,,37.2,36.67,62.38,,,,,56.95,36.07,,,,,40.94,49.64,52.63,62.51,58.43,62.61,-7.58,-192.93,-43.38,0.67,-243.22,18.35,96.43,0.0,0.12,0.01,18.35,0.84,0.0,8.04,0.49,3.19,0.56,0.4,0.35,137.83,2.97,4.22,0.0,0.0,0.0,0.0,41.7,0.0,5.01,,0.0,100.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT0 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,116.92,87.09,91.46,85.13,,,,,45.99,45.03,87.16,,,,,81.73,,,,53.62,,87.26,85.02,,61.16,50.09,70.5,6.56,4.01,28.49,-1.73,37.32,20.07,0.0,0.0,0.22,3.99,20.07,0.69,0.0,5.19,0.43,2.92,0.2,0.0,0.0,0.0,0.0,1.79,0.0,3.13,0.0,0.0,45.62,0.0,2.26,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
IT0 1,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.01,0.0,0.0,0.0,,115.67,85.84,84.62,82.19,,,,,41.91,40.76,83.98,,,,,78.54,,,,46.81,41.93,83.41,88.84,87.18,52.84,41.93,69.08,1.11,-0.24,-3.36,0.34,-2.16,8.92,1.25,0.0,0.1,5.95,8.92,0.18,5.05,2.71,0.43,0.97,0.05,0.0,0.0,0.0,0.0,1.97,16.85,1.39,0.0,0.0,20.26,14.7,1.15,,0.0,0.12,,0.0,0.0,0.0,0.0,0.0,0.0,35.97,100.0,0.0
IT0 10,0.0,1.62,0.0,0.0,0.0,0.0,0.3,0.01,0.01,,,,115.29,85.46,81.03,79.12,,,,,39.67,38.46,80.88,,,,,75.45,66.3,,,45.16,40.07,75.21,79.31,,51.69,40.37,,3.77,-34.32,-47.23,0.26,-77.53,21.11,23.37,0.0,0.23,3.95,21.11,1.18,12.74,7.5,0.42,5.34,0.04,0.0,0.0,37.47,0.0,4.8,71.3,3.29,0.66,0.0,47.97,37.06,9.59,,0.0,,,100.0,0.0,0.0,,0.0,0.0,100.0,100.0,0.0
IT0 11,,0.0,0.0,0.0,0.0,0.0,2.14,0.01,0.01,0.02,,,116.93,87.09,90.87,84.23,,,,,47.6,46.73,86.27,,,,,80.83,,,,53.21,50.03,82.03,,,63.59,50.03,69.83,3.11,11.22,16.13,5.61,36.08,46.51,0.0,0.0,0.5,9.17,46.51,1.91,0.0,9.71,0.28,8.5,1.96,0.0,0.0,0.0,0.2,3.65,35.12,7.26,1.26,0.0,105.71,0.0,6.64,,,,,0.0,0.0,0.0,0.0,0.0,0.0,91.92,100.0,0.0
IT0 12,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.09,0.02,,,116.7,86.87,89.46,83.42,,,,,48.9,47.98,85.34,,,,,79.91,,,,51.66,46.33,94.4,101.78,,63.79,47.1,68.93,2.09,13.09,-22.35,-0.73,-7.89,26.04,1.13,0.0,0.28,1.37,26.04,0.58,0.0,6.32,0.5,2.21,3.11,0.0,0.0,0.0,1.17,2.05,51.7,4.06,2.61,0.0,59.18,0.01,3.24,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
IT0 13,0.0,0.44,0.0,0.0,0.0,0.0,0.52,0.01,0.03,0.0,0.06,,114.59,84.76,80.53,77.88,,,,,38.05,37.15,79.59,,,,,74.16,80.28,,,43.95,39.45,80.28,86.0,83.07,50.88,39.45,66.14,0.99,-6.33,-15.09,0.97,-19.45,13.05,3.84,0.0,0.14,0.0,13.05,0.6,9.99,3.33,0.37,3.23,0.09,0.0,0.56,8.29,0.02,2.78,24.23,2.04,1.33,0.1,29.65,29.05,5.07,,0.0,100.0,,34.67,0.0,0.0,0.0,0.0,0.0,51.84,100.0,0.0
IT0 14,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.01,0.0,,,116.21,86.38,89.56,83.93,,,,,45.55,44.49,85.85,,,,,80.42,,,,49.91,44.62,94.21,97.31,,57.78,44.62,68.76,-0.16,5.38,14.94,0.53,20.69,13.26,0.0,0.0,0.14,5.59,13.26,0.28,0.0,3.28,0.42,1.92,0.97,0.0,0.0,0.0,0.33,1.6,2.96,2.07,0.6,0.0,30.14,0.01,1.25,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,7.68,100.0,0.0
IT0 15,,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,,,117.0,87.16,92.44,85.82,,,,,45.82,44.8,87.87,,,,,82.43,,,,52.6,46.78,93.87,,,61.33,46.78,70.75,3.61,6.55,34.77,7.94,52.87,31.11,0.0,0.0,0.33,9.56,31.11,1.39,0.0,8.2,0.15,9.59,0.48,0.0,0.0,0.0,0.0,2.32,12.0,4.85,0.0,0.0,70.71,0.0,5.6,,,,,0.0,0.0,0.0,0.0,0.0,0.0,17.27,100.0,0.0
IT0 16,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.01,0.0,,117.23,87.4,91.96,85.75,,,,,49.08,48.08,87.7,,,,,82.26,,,,53.06,47.74,105.41,108.58,113.2,63.29,47.74,70.61,0.94,2.32,-3.42,1.34,1.19,17.23,1.98,0.0,0.19,7.48,17.23,0.42,0.0,4.84,0.39,2.9,1.11,0.0,0.0,0.0,0.22,1.37,34.31,2.69,0.11,0.0,39.16,0.01,1.84,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,92.68,100.0,0.0
IT0 2,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,,116.98,87.15,92.91,86.65,,,,,45.1,44.11,88.63,,,,,83.2,,,,52.25,46.63,95.23,102.74,101.99,60.37,46.63,71.76,4.7,3.02,13.1,-3.52,17.31,11.8,0.0,0.0,0.13,0.67,11.8,0.42,0.0,3.59,0.24,2.55,0.03,0.0,0.0,0.0,0.0,1.11,8.4,1.84,0.0,0.0,26.83,0.01,1.9,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,24.53,100.0,0.0
IT0 3,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.01,0.01,0.01,,,115.37,85.54,82.62,80.17,,,,,40.54,39.54,81.91,,,,,76.48,,,,45.54,40.35,91.55,96.47,,51.27,40.35,66.22,5.0,-7.11,-10.18,0.51,-11.78,11.59,7.11,0.0,0.12,12.83,11.59,0.16,6.15,3.1,0.6,1.06,0.83,0.0,0.0,0.0,0.0,2.51,28.42,1.81,0.27,0.0,26.33,17.9,1.19,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,82.87,100.0,0.0
IT0 4,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.02,0.13,0.02,0.0,,115.98,86.15,87.92,83.13,,,,,43.67,42.53,84.91,,,,,79.48,,,,48.07,44.72,91.03,90.57,91.74,58.23,45.09,68.32,2.06,-3.45,3.58,3.16,5.35,28.07,5.51,0.0,0.3,6.4,28.07,1.54,6.5,5.68,0.29,5.52,0.67,0.0,0.0,0.0,0.02,2.95,33.55,4.38,4.26,0.0,63.8,18.9,7.91,,0.0,0.04,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0
IT0 5,,0.0,0.0,0.0,0.0,0.0,1.06,0.01,0.06,0.02,,,117.19,87.36,92.31,85.14,,,,,52.49,51.66,87.1,,,,,81.66,,,,54.82,51.5,82.49,,,65.23,51.5,70.13,-3.1,13.61,-5.48,-0.7,4.33,18.65,0.0,0.0,0.2,1.17,18.65,0.33,0.0,4.27,0.35,2.93,5.9,0.0,0.0,0.0,1.12,1.4,17.75,2.91,1.41,0.0,42.39,0.0,1.64,,,,,0.0,0.0,0.0,0.0,0.0,0.0,61.12,100.0,0.0
IT0 6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.01,0.0,,,,116.17,86.34,87.84,83.42,,,,,43.4,42.36,85.21,,,,,79.78,,,,48.93,44.48,95.03,97.83,,57.43,44.48,,4.25,-2.23,4.47,-0.36,6.13,6.98,2.06,0.0,0.08,10.37,6.98,0.06,0.88,1.83,0.4,0.65,0.08,0.0,0.0,0.0,0.0,1.01,9.64,1.09,0.07,0.0,15.87,2.55,0.45,,0.0,,,0.0,0.0,0.0,,0.0,0.0,35.1,100.0,0.0
IT0 7,0.0,0.08,0.0,0.0,0.0,0.0,0.14,0.01,0.05,,0.0,,115.07,85.24,81.89,79.06,,,,,38.42,37.46,80.77,,,,,75.34,91.89,,,42.64,37.76,91.89,95.02,94.53,54.41,40.83,,6.22,-14.87,-7.36,1.86,-14.16,14.63,10.54,0.0,0.16,2.22,14.63,0.9,12.37,4.08,0.2,4.22,0.56,0.0,0.0,2.61,0.0,2.66,41.37,2.28,3.08,0.04,33.26,35.99,7.18,,0.0,0.09,,11.38,0.0,0.0,,0.0,0.0,100.0,100.0,0.0
